
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075
 
 Iteration   Func-count     min f(x)         Procedure
    44           78          253.172         reflect
    45           80          253.122         reflect
    46           82          253.122         contract inside
    47           84          253.122         contract inside
    48           85          253.122         reflect
    49           87          253.122         contract inside
    50           88          253.122         reflect
    51           89          253.122         reflect
    52           90          253.122         reflect
    53           91          253.122         reflect
    54           93          253.104         reflect
    55          100          253.083         shrink
    56          101          253.083         reflect
    57          102          253.083         reflect
    58          109          253.083         shrink
    59          110          253.083         reflect
    60          111          253.083         reflect
    61          118          253.083         shrink
    62          119          253.083         reflect
    63          120          253.083         reflect
    64          121          253.083         reflect
    65          123          253.083         contract inside
    66          124          253.083         reflect
    67          125          253.083         reflect
    68          127          253.083         contract inside
    69          134          253.083         shrink
    70          141          253.083         shrink
    71          148          253.083         shrink
    72          155          253.083         shrink
    73          162          253.083         shrink
    74          163          253.083         reflect
    75          170          253.083         shrink
    76          171          253.083         reflect
    77          172          253.083         reflect
    78          179          253.083         shrink
    79          180          253.083         reflect
    80          187          253.083         shrink
    81          188          253.083         reflect
    82          189          253.083         reflect
    83          196          253.083         shrink
    84          197          253.083         reflect
    85          198          253.083         reflect
    86          199          253.083         reflect
    87          200          253.083         reflect
    88          207          253.083         shrink
    89          208          253.083         reflect
    90          210          253.083         contract inside
    91          211          253.083         reflect
    92          218          253.083         shrink
    93          220          253.083         contract inside
    94          221          253.083         reflect
    95          222          253.083         reflect
    96          223          253.083         reflect
    97          225          253.083         contract inside
    98          226          253.083         reflect
    99          228          253.083         contract inside
   100          230          253.083         contract inside
   101          237          253.083         shrink
   102          239          253.083         contract inside
   103          241          253.083         contract inside
   104          242          253.083         reflect
   105          244          253.083         contract inside
   106          245          253.083         reflect
   107          247          253.083         contract inside
   108          249          253.083         contract inside
   109          256          253.083         shrink
   110          258          253.083         contract outside
   111          260          253.083         contract outside
   112          262          253.083         contract inside
   113          263          253.083         reflect
   114          265          253.083         contract inside
   115          267          253.083         contract inside
   116          268          253.083         reflect
   117          270          253.083         contract inside
   118          277          253.083         shrink
   119          279          253.083         contract outside
   120          281          253.083         contract inside
   121          282          253.083         reflect
   122          283          253.083         reflect
   123          285          253.083         contract inside
   124          286          253.083         reflect
   125          287          253.083         reflect
   126          289          253.083         contract outside
   127          296          253.083         shrink
   128          298          253.083         contract outside
   129          299          253.083         reflect
   130          300          253.083         reflect
   131          301          253.083         reflect
   132          303          253.083         contract inside
   133          305          253.083         contract inside
   134          306          253.083         reflect
   135          307          253.083         reflect
   136          314          253.083         shrink
   137          316          253.083         contract outside
   138          317          253.083         reflect
   139          318          253.083         reflect
   140          319          253.083         reflect
   141          321          253.083         contract inside
   142          323          253.083         contract inside
   143          324          253.083         reflect
   144          325          253.083         reflect
   145          332          253.083         shrink
   146          334          253.083         contract outside
   147          335          253.083         reflect
   148          336          253.083         reflect
   149          337          253.083         reflect
   150          339          253.083         contract inside
   151          341          253.083         contract inside
   152          342          253.083         reflect
   153          343          253.083         reflect
   154          350          253.083         shrink
   155          352          253.083         contract outside
   156          353          253.083         reflect
   157          354          253.083         reflect
   158          355          253.083         reflect
   159          357          253.083         contract outside
   160          359          253.083         contract inside
   161          360          253.083         reflect
   162          361          253.083         reflect
   163          362          253.083         reflect
   164          363          253.083         reflect
   165          370          253.083         shrink
   166          371          253.083         reflect
   167          372          253.083         reflect
   168          373          253.083         reflect
   169          375          253.083         contract inside
   170          376          253.083         reflect
   171          377          253.083         reflect
   172          379          253.083         contract inside
   173          386          253.083         shrink
   174          388          253.083         contract outside
   175          389          253.083         reflect
   176          390          253.083         reflect
   177          392          253.083         contract inside
   178          393          253.083         reflect
